Seq | Data_Center_Code | Parameter_Name | Unit | Places_Before | Places_After | Minimum_Value | Maximum_Value | Originally_Entered_By | Originally_Parameter_Description
90000076 | 90 | Methyl chloroform | pmole/kg | 4 | 3 | -0.50000 | 200.00000 | P. Strain | Methyl chloroform (CH3CCl3)
90000283 | 20 | Methyl-Hg | mg/m2/day | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Mercury, methyl
90000279 | 20 | Mg | mg/m3 | 4 | 0 | -1.00000 | 5000.00000 | BCPIERRE | Magnesium - filtered or unfiltered
90000230 | 20 | Mg-particulate | g/kg | 2 | 1 | -1.00000 | 50.00000 | BCPIERRE | Magnesium - particulate
90000344 | 20 | Mg-Sediment | ug/g | 2 | 2 | 0.00000 | 2000.00000 | BCPIERRE | Magnesium - Sediment
90000277 | 20 | Mn | mg/m3 | 4 | 1 | -1.00000 | 5000.00000 | BCPIERRE | Manganese - filtered or unfiltered
90000041 | 90 | Mn - filtered | mg/m3 | 5 | 2 | 0.00000 | 5000.00000 | P. Strain | Mn - filtered
90000033 | 90 | Mn - unfiltered | mg/m3 | 5 | 2 | 0.00000 | 5000.00000 | P. Strain | Mn - unfiltered
90000220 | 20 | Mn-particulate | g/kg | 5 | 0 | -1.00000 | 50000.00000 | BCPIERRE | Manganese - particulate
90000346 | 20 | Mn-Sediment | ug/g | 2 | 2 | 0.00000 | 100.00000 | BCPIERRE | Manganese - Sediment
90000271 | 20 | Mo | mg/m3 | 2 | 2 | -1.00000 | 20.00000 | BCPIERRE | Molybdenum - filtered or unfiltered
90000217 | 20 | Mo-particulate | g/kg | 2 | 2 | -1.00000 | 50.00000 | BCPIERRE | Molybdenum - particulate
90000348 | 20 | Mo-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Molybdenum - Sediment
90000298 | 20 | N content | mg/ind | 4 | 2 | 0.00000 | 9999.99000 | MARY | Nitrogen content per individual
90000276 | 20 | Na | mg/l | 4 | 2 | -1.00000 | 1000.00000 | BCPIERRE | Sodium - filtered or unfiltered
90000224 | 20 | Na-particulate | g/kg | 2 | 1 | -1.00000 | 300.00000 | BCPIERRE | Sodium - particulate
90000350 | 20 | Na-Sediment | ug/g | 2 | 2 | 0.00000 | 10000.00000 | BCPIERRE | Sodium - Sediment
90000352 | 20 | Nb-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Niobium - Sediment
90000154 | 90 | NH3Uptake_SIS_day | umol/m3/day | 4 | 2 | 0.00000 | 2000.00000 | KennedyM | Nitrogen (Ammonia) uptake rate measurements from SIS experiments (units = per day)
90000153 | 90 | NH3Uptake_SIS_hr | umol/m3/hr | 4 | 2 | 0.00000 | 2000.00000 | KennedyM | Nitrogen (Ammonia) uptake rate measurements ifrom SIS experiments (units = per hour)
90000272 | 20 | Ni | mg/m3 | 2 | 3 | -1.00000 | 50.00000 | BCPIERRE | Nickel - filtered or unfiltered
90000043 | 90 | Ni - filtered | mg/m3 | 3 | 2 | 0.00000 | 250.00000 | P. Strain | Ni - filtered
90000035 | 90 | Ni - unfiltered | mg/m3 | 3 | 2 | 0.00000 | 200.00000 | P. Strain | Ni - unfiltered
90000222 | 20 | Ni-particulate | ug/g | 3 | 1 | -1.00000 | 1500.00000 | BCPIERRE | Nickel - particulate
90000354 | 20 | Ni-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Nickel - Sediment
90000014 | 90 | Nitrate | mmol/m3 | 4 | 2 | -1.00000 | 75.00000 | P. Strain | Nitrate + nitrite
90000027 | 90 | Nitrite | mmol/m3 | 2 | 3 | 0.00000 | 25.00000 | P. Strain | Nitrite
90000070 | 90 | NO_Broecker | umole/kg | 4 | 2 | 0.00000 | 600.00000 | P. Strain | Broecker's parameter NO = O2 + 9.83 * NO3
90000000 | 20 | Not Applicable | none | 0 | 0 | 0.00000 | 2459.00000 | BCPIERRE | Used when not a reteivable parameter
90000152 | 90 | NO3Uptake_SIS_day | umol/m3/day | 4 | 2 | 0.00000 | 2000.00000 | KennedyM | Nitrogen (nitrate) uptake rate measurements from SIS experiments (units = per day)
90000151 | 90 | NO3Uptake_SIS_hr | umol/m3/hr | 4 | 2 | 0.00000 | 2000.00000 | KennedyM | Nitrogen (nitrate) uptake rate measurements from SIS experiments (units = per hour)
90000150 | 90 | Nucleic acid - DNA | mg/m3 | 3 | 1 | 0.00000 | 25.00000 | KennedyM | Deoxyribonucleic acid (DNA); biochemical indicator of microplankton biomass
90000148 | 90 | Nucleic acid - RNA | mg/m3 | 3 | 1 | 0.00000 | 26.00000 | KennedyM | Ribonucleic acid (RNA); biochemical indicator of microplankton biomass
90000110 | 90 | Oil - tarballs | mg/m2 | 4 | 5 | 0.00000 | 9999.00000 | BIOCHEM | Particulate petroleum residues (tarballs)
90000105 | 90 | Oil in surf layer | mg/m3 | 4 | 3 | 0.00000 | 2000.00000 | BIOCHEM | Dissolved/dispersed oil in the surface microlayer
90000005 | 90 | Oil in water | mg/m3 | 6 | 2 | 0.00000 | 3000.00000 | P. Strain | Total dissolved / dispersed oil
90000020 | 90 | O18 - Total CO2 | o/oo PDB | 4 | 2 | -30.00000 | 10.00000 | P. Strain | O-18/O-16 ratio in TCO2, v PDB (PeeDee Belemnite)
90000031 | 90 | O18 - Water | o/oo PDB | 3 | 2 | -60.00000 | 5.00000 | P. Strain | O-18/O-16 in water, v SMOW (Standard Mean Ocean Water)
90000004 | 90 | O2 | mmol/m3 | 4 | 1 | 0.00000 | 560.00000 | P. Strain | Dissolved oxygen
90000477 | 20 | O2 mL/L | ml/l | 2 | 4 | 0.00000 | 13.00000 | BONDS | Dissolved oxygen
90000184 | 20 | O2_PG_Insitu_hr | mg O2 m-3 h-1 | 2 | 3 | -99.00000 | 999.00000 | MARY | Phytosynthetic rate measurement made by changes in dissolved O2 - Gross oxygen production; insitu
90000185 | 20 | O2_PN_Insitu_hr | mg O2 m-3 h-1 | 2 | 3 | -99.00000 | 999.00000 | MARY | Phytosynthetic rate measurement made by changes in dissolved O2 - Net oxygen production; insitu incu
90000186 | 20 | O2_PR_Insitu_hr | mg O2 m-3 h-1 | 2 | 3 | -99.00000 | 999.00000 | MARY | Phytosynthetic rate measurement made by changes in dissolved O2 - Oxygen respiration; insitu incubat
90000284 | 20 | P | mg/m3 | 3 | 2 | -1.00000 | 100.00000 | BCPIERRE | Phosphorus - filtered not preserved
90000084 | 90 | PAR | uE m-2 s-1 | 4 | 3 | 0.00000 | 5000.00000 | P. Strain | Photosynthetically active radiation (400-700 nm)
90000291 | 20 | PAR_4pi_Index | Volts | 2 | 2 | -5.00000 | 5.00000 | MARY | PAR in units of voltages
90000259 | 20 | Pb | mg/m3 | 1 | 3 | -1.00000 | 20.00000 | BCPIERRE | Lead - filtered or unfiltered
90000081 | 90 | Pb - filtered | mg/m3 | 2 | 3 | 0.00000 | 0.50000 | P. Strain | Pb - filtered
90000122 | 20 | Pb - unfiltered | mg/m3 | 2 | 3 | 0.00000 | 0.50000 | R. Benjamin | Lead - unfiltered
90000247 | 20 | Pb-particulate | ug/g | 3 | 1 | -1.00000 | 500.00000 | BCPIERRE | Lead - particulate
90000358 | 20 | Pb-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Lead - Sediment
90000008 | 90 | pH | none | 2 | 3 | 2.00000 | 9.00000 | P. Strain | pH
90000030 | 90 | Phaeophytin | mg/m3 | 3 | 2 | 0.00000 | 50.00000 | P. Strain | Phaeophytin
90000198 | 20 | pH_invitro_temp | degrees C | 3 | 3 | -2.00000 | 35.00000 | MARY | reference lab temperature
90000013 | 90 | Phosphate | mmol/m3 | 4 | 3 | 0.00000 | 50.00000 | P. Strain | Dissolved inorganic phosphate
90000079 | 90 | Phosphate: part. | mmol/m3 | 3 | 3 | 0.00000 | 30.00000 | P. Strain | Particulate phosphate
90000085 | 90 | Photic depth | m | 3 | 0 | 0.00000 | 500.00000 | P. Strain | Photic depth (1 % of surface light level)
90000009 | 90 | pKa | none | 1 | 4 | 5.00000 | 7.00000 | P. Strain | pK for the first dissociation constant of H2CO3
90000015 | 90 | POC | mg/m3 | 5 | 2 | 0.00000 | 11000.00000 | P. Strain | Particulate organic carbon (POC)
90000016 | 90 | POH | mg/m3 | 4 | 2 | 0.00000 | 500.00000 | P. Strain | Particulate organic hydrogen (POH)
90000017 | 90 | PON | mg/m3 | 4 | 2 | 0.00000 | 1500.00000 | P. Strain | Particulate organic nitrogen (PON)
90000200 | 20 | POP | mg/m3 | 4 | 2 | 0.00000 | 1500.00000 | MARY | particulate organic phosphate
90000094 | 90 | PP_ALPHA | C chl-1 h-1 W-1 m-2 | 5 | 5 |  |  | Mary Kennedy | Primary Production Parameter ALPHA
90000245 | 20 | P-particulate | g/kg | 4 | 0 | -1.00000 | 9000.00000 | BCPIERRE | Phosphorus - particulate
90000098 | 90 | PP_BETA | C chl-1 h-1 W-1 m-2 | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION BETA
90000102 | 90 | PP_IB | W m-2 | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION IB
90000100 | 90 | PP_IK | W m-2 | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION IK
90000103 | 90 | PP_IM | W m-2 | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION IM
90000117 | 90 | PP_INC | hours | 2 | 2 | 0.00000 | 99.00000 | BIOCHEM | Primary Production INC
90000101 | 90 | PP_IS | W m-2 | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION IS
90000096 | 90 | PP_PM | mg C mg Chl-1 h-1 | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION:  PRODUCTION MAXIMUM
90000097 | 90 | PP_PS | mg C mg Chl-1 h-1 | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION PS
90000099 | 90 | PP_RB | mg C mg Chl-1 h-1 | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION RB
90000118 | 20 | PP_TI | degrees C | 5 | 5 |  |  | MARY | PRIMARY PRODUCTION TS SAMPLE TEMPERATURE
90000104 | 90 | PP_TS | hours | 5 | 5 |  |  | M. KENNEDY | PRIMARY PRODUCTION TS SAMPLE TEMPERATURE
90000088 | 90 | PP_TYPE_OF_FIT | none | 1 | 0 | 3.00000 | 4.00000 | P. Strain | Type of fit (number of parameters)
90000001 | 90 | Pressure | dbar | 5 | 2 | 0.00000 | 12000.00000 | P. Strain | Pressure
90000082 | 90 | PrimProd_InSitu_Day | mg C/m**3/day | 3 | 3 | 0.00000 | 500.00000 | P. Strain | Primary production, in situ
90000140 | 20 | PrimProd_InSitu_Hr | mg C/m**3/h | 3 | 3 | 0.00000 | 100.00000 | BCPIERRE | Primary production determined using 14C uptake and rate calculated per hour
90000208 | 20 | PrimProd_SIS_Day_C14 | mg C/m**3/day | 3 | 3 | 0.00000 | 2000.00000 | MARY | primary Production frim simulated insitu using C14
90000159 | 30 | PrimProd_SIS_Hr | mg C/m**3/h | 3 | 3 | 0.00000 | 100.00000 | DEVINEL | Primary production determined using 14C uptake, simulated insitu incubation, rate calculated per hr
90000189 | 20 | PrimProd_SIS_Hr_C13 | mg C/m**3/h | 3 | 3 | 0.00000 | 2000.00000 | MARY | Primary production from simulated in situ experiments using C13 (Carbon per area per hour)
90000191 | 20 | PrimProd_SIS_Hr_24hr | mg C/m**3/h | 3 | 3 | 0.00000 | 100.00000 | MARY | Primary production determined using 14C uptake, 24hr SIS incubation, rate calculated per hr
90000089 | 90 | Production max | C chl-1 h-1 W-1 m-2 | 4 | 2 |  |  | P. Strain | Primary production maximum
90000057 | 90 | Propane | ppmv | 3 | 2 | 0.00000 | 30.00000 | P. Strain | Propane
90000149 | 90 | Protein | mg/m3 | 3 | 1 | 0.00000 | 700.00000 | KennedyM | Protein; biochemical indicator of microplankton biomass
90000356 | 20 | P-Sediment | ug/g | 2 | 2 | 0.00000 | 20000.00000 | BCPIERRE | Phosphorus - sediment
90000263 | 20 | Rb | mg/m3 | 3 | 2 | -1.00000 | 500.00000 | BCPIERRE | Rubidium - filtered or unfiltered
90000244 | 20 | Rb-particulate | ug/g | 3 | 1 | -1.00000 | 200.00000 | BCPIERRE | Rubidium - particulate
90000360 | 20 | Rb-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Rubidium - Sediment
90000116 | 20 | Rosette position # | none | 2 | 0 | 0.00000 | 36.00000 | MARY | position of bottle in rosette -- useful when looking for "leakers"
90000114 | 20 | Rosette trip # | none | 2 | 0 | 0.00000 | 25.00000 | MARY | gives firing order of bottles on CTD rosette
90000285 | 20 | Ru-particulate | ug/g | 3 | 2 | -1.00000 | 150.00000 | BCPIERRE | Ruthenium -particulate
90000286 | 20 | S | ug/g | 3 | 2 | 0.00000 | 100.00000 | BCPIERRE | Sulphur - filtered or unfiltered
90000002 | 90 | Salinity | none | 3 | 3 | 0.00000 | 400.00000 | P. Strain | Salinity
90000303 | 20 | Sample Size NumIndiv | none | 3 | 0 | 0.00000 | 100.00000 | MARY | Sample size (number of individuals in the experiment)
90000265 | 20 | Sb | mg/m3 | 2 | 2 | -1.00000 | 20.00000 | BCPIERRE | Antimony - filtered or unfiltered
90000251 | 20 | Sb-particulate | ug/g | 2 | 2 | -1.00000 | 50.00000 | BCPIERRE | Antimony - particulate
